timestamp,year,month,day_of_year,hour,shift,sensor_id,latitude,longitude,elevation_ft,weather_station_id,sensor_status,data_quality_flag,temperature_f,precipitation_in,humidity_pct,wind_speed_mph,barometric_pressure_inhg,slope_zone,slope_angle_deg,bench_height_ft,rock_type,rock_mass_rating,joint_spacing_ft,joint_orientation_deg,depth_to_water_ft,pore_pressure_psi,blast_frequency_7days,distance_to_blast_ft,blast_magnitude_lbs,equipment_passes_per_shift,microseismic_events_daily,max_seismic_magnitude,displacement_rate_mm_per_day,cumulative_displacement_mm,tiltmeter_microradians,strain_gauge_microstrain,vibration_ppv_mm_per_s,rockfall_risk_score,rockfall_occurred,rockfall_size_category
2024-01-03 12:00:00,2024,1,3,12,NIGHT,SENSOR-023,-26.817588,140.988841,1057.56,WS-004,ACTIVE,GOOD,96.39,0.16,62.97,9.19,29.85,Zone E,30.27,37.15,SCHIST,75,3.28,9.1,62.62,38.04,2,173.21,881.77,9,4,4.29,1.6207,58.9767,493.1405,153.1419,19.4367,32.57,1,NONE
2024-01-03 18:00:00,2024,1,3,18,DAY,SENSOR-035,-26.764948,141.298421,1746.04,WS-004,ACTIVE,FAIR,49.96,0.01,65.0,4.99,30.12,Zone D,64.09,41.18,SANDSTONE,87,0.55,87.29,56.47,45.65,2,598.47,4861.86,10,1,3.28,1.9191,21.1524,232.7251,129.236,29.6314,19.57,0,NONE
2024-01-04 00:00:00,2024,1,4,0,SWING,SENSOR-045,-25.37241,141.369462,1162.62,WS-009,ACTIVE,GOOD,57.11,0.43,84.66,14.11,29.26,Zone A,66.97,73.3,LIMESTONE,32,0.62,33.88,171.58,49.49,2,972.92,4289.54,14,3,2.16,2.4661,154.2007,143.9695,20.7113,43.3714,67.14,0,NONE
2024-01-04 06:00:00,2024,1,4,6,NIGHT,SENSOR-026,-25.787651,140.457286,1671.7,WS-005,ACTIVE,GOOD,74.34,0.31,67.09,3.06,29.77,Zone E,48.41,68.62,SCHIST,61,4.33,49.67,134.14,45.07,2,779.62,3291.39,12,1,1.05,1.6974,85.804,17.1269,76.6116,29.906,25.98,0,NONE
2024-01-04 12:00:00,2024,1,4,12,NIGHT,SENSOR-014,-26.081728,141.960065,1492.62,WS-008,CALIBRATING,FAIR,85.02,0.33,49.73,8.38,29.86,Zone B,30.8,36.4,SANDSTONE,39,1.12,57.68,77.28,23.83,3,273.06,683.91,6,4,1.21,3.1667,208.9609,53.4642,32.9208,23.5782,41.4,0,NONE
2024-01-04 18:00:00,2024,1,4,18,DAY,SENSOR-016,-25.503481,140.369042,1209.35,WS-009,MAINTENANCE,GOOD,63.32,0.16,52.23,4.64,29.16,Zone E,45.81,67.37,SHALE,32,1.64,64.2,184.28,30.47,2,579.36,1591.12,8,1,0.58,1.3911,113.9946,167.8188,50.1751,17.0474,13.21,0,NONE
2024-01-05 00:00:00,2024,1,5,0,SWING,SENSOR-026,-26.136681,140.255161,1283.78,WS-006,ACTIVE,GOOD,100.61,0.14,51.78,9.38,28.96,Zone E,69.39,60.29,SHALE,44,0.96,13.76,86.89,16.43,2,907.09,861.05,10,1,4.43,4.8274,264.8315,64.8991,85.5926,48.5041,30.64,0,NONE
2024-01-05 06:00:00,2024,1,5,6,DAY,SENSOR-049,-26.149127,141.015221,1242.41,WS-001,ACTIVE,GOOD,55.06,0.5,36.89,1.74,30.32,Zone B,31.95,54.06,SCHIST,61,0.73,30.29,70.16,12.53,4,784.21,3180.37,10,4,1.9,3.881,363.4282,465.4693,167.8177,48.2863,49.46,1,NONE
2024-01-05 12:00:00,2024,1,5,12,NIGHT,SENSOR-039,-26.672688,140.328532,1814.57,WS-002,CALIBRATING,FAIR,88.7,0.02,69.91,0.88,30.1,Zone E,42.66,70.83,SHALE,56,2.2,41.64,95.21,39.9,3,589.2,4579.12,11,2,4.26,3.781,324.2726,317.5769,73.6321,7.8243,28.05,0,NONE
2024-01-05 18:00:00,2024,1,5,18,SWING,SENSOR-017,-25.475083,141.753531,1342.08,WS-009,ACTIVE,GOOD,52.25,0.08,79.28,4.5,29.43,Zone E,31.75,41.46,SANDSTONE,73,3.74,57.7,154.09,31.71,2,917.61,3125.26,9,1,4.29,0.9404,30.4363,85.1422,121.3837,25.7885,18.59,0,NONE
2024-01-06 00:00:00,2024,1,6,0,SWING,SENSOR-022,-25.030318,141.677796,1124.66,WS-002,ACTIVE,FAIR,72.07,0.01,85.25,5.52,30.47,Zone B,42.96,32.74,SHALE,50,4.11,0.42,100.02,25.93,4,507.0,1510.72,9,6,1.21,0.621,38.4214,254.2002,89.5958,45.8274,22.02,0,NONE
2024-01-06 06:00:00,2024,1,6,6,DAY,SENSOR-047,-26.589721,140.381375,1036.55,WS-005,MAINTENANCE,GOOD,48.4,0.17,58.32,7.85,30.61,Zone E,44.83,50.04,GRANITE,63,1.2,16.37,179.27,47.84,3,122.85,1202.69,12,5,0.61,3.6213,64.03,118.7664,53.9042,33.9227,41.59,1,NONE
2024-01-06 12:00:00,2024,1,6,12,SWING,SENSOR-020,-25.33956,140.794367,1668.09,WS-009,MAINTENANCE,GOOD,77.21,0.19,42.3,2.81,29.09,Zone B,65.17,70.87,SANDSTONE,50,1.67,34.17,138.54,20.72,4,953.61,3936.23,10,0,3.7,1.1183,35.1563,218.3546,14.2692,14.1652,1.4,0,NONE
2024-01-06 18:00:00,2024,1,6,18,DAY,SENSOR-035,-25.697159,141.659484,1206.42,WS-009,ACTIVE,POOR,40.56,0.5,30.66,6.21,30.41,Zone C,54.93,38.77,SHALE,84,2.38,34.48,127.84,11.88,2,642.84,1604.07,9,3,1.92,5.1502,507.7945,362.3325,66.4531,28.7538,59.87,0,NONE
2024-01-07 00:00:00,2024,1,7,0,DAY,SENSOR-024,-25.543622,140.990983,1688.4,WS-005,ACTIVE,GOOD,66.83,0.01,56.09,7.99,29.64,Zone B,56.26,43.61,BASALT,65,2.12,8.24,187.6,15.47,3,885.65,3795.01,13,4,3.27,2.0476,111.9457,426.1059,57.4369,24.9818,31.99,0,NONE
2024-01-07 06:00:00,2024,1,7,6,DAY,SENSOR-006,-26.925985,141.19254,1230.01,WS-008,ACTIVE,POOR,61.8,0.18,37.23,6.09,29.68,Zone B,57.61,33.27,LIMESTONE,48,2.93,71.17,97.81,35.04,3,883.09,595.71,14,5,4.26,4.6317,451.1017,401.4038,199.6075,18.1849,37.38,0,NONE
2024-01-07 12:00:00,2024,1,7,12,SWING,SENSOR-031,-26.532784,140.084186,1017.87,WS-009,ACTIVE,GOOD,38.62,0.09,89.26,2.86,30.7,Zone E,34.82,77.5,BASALT,77,0.9,37.58,181.87,47.79,2,992.05,1542.52,16,3,2.93,1.63,124.5009,261.2174,53.8273,9.6499,49.94,0,NONE
2024-01-07 18:00:00,2024,1,7,18,NIGHT,SENSOR-014,-25.368334,140.448881,1223.82,WS-009,ACTIVE,GOOD,76.94,0.02,62.22,9.54,29.5,Zone D,64.49,43.28,SCHIST,37,4.5,86.01,179.32,42.38,2,467.61,2177.1,7,4,2.48,4.0393,392.6973,49.7126,51.8348,34.4797,16.61,0,NONE
2024-01-08 00:00:00,2024,1,8,0,SWING,SENSOR-024,-25.683096,141.701163,1867.29,WS-008,MAINTENANCE,FAIR,73.76,0.25,72.5,7.15,30.35,Zone A,52.84,67.64,LIMESTONE,39,4.46,78.47,54.39,43.03,1,769.16,1223.42,10,6,1.65,6.291,529.8344,312.2942,196.4254,31.9589,80.31,1,NONE
2024-01-08 06:00:00,2024,1,8,6,DAY,SENSOR-022,-26.398073,141.416344,1067.35,WS-001,MAINTENANCE,POOR,58.98,0.38,64.93,6.78,29.68,Zone B,64.22,78.67,BASALT,88,3.87,11.71,163.74,10.98,0,391.25,2698.89,9,6,4.49,6.0426,354.7828,218.8288,95.7635,9.0176,55.09,0,NONE
2024-01-08 12:00:00,2024,1,8,12,DAY,SENSOR-005,-26.204811,140.54843,1983.98,WS-001,ACTIVE,GOOD,63.28,0.1,54.56,7.68,29.56,Zone A,26.4,62.58,SANDSTONE,52,4.39,42.59,195.23,17.42,6,129.27,4643.82,11,1,2.43,4.5816,437.8949,67.481,33.7853,34.5927,19.6,0,NONE
2024-01-08 18:00:00,2024,1,8,18,DAY,SENSOR-033,-26.416675,141.389964,1860.12,WS-004,ACTIVE,FAIR,58.22,0.09,76.79,0.69,29.44,Zone B,35.89,79.33,BASALT,38,2.74,55.63,155.37,32.39,0,393.82,2829.7,5,3,0.63,2.2255,76.1316,48.5035,85.4154,7.5031,22.54,0,NONE
2024-01-09 00:00:00,2024,1,9,0,DAY,SENSOR-047,-25.571826,141.603456,1339.45,WS-010,MAINTENANCE,FAIR,92.18,0.2,78.89,6.59,29.98,Zone B,61.78,52.62,SHALE,68,2.87,65.84,62.24,12.41,1,884.61,1486.46,7,3,3.13,4.2668,82.8236,254.1159,115.5191,36.2409,31.22,0,NONE
2024-01-09 06:00:00,2024,1,9,6,NIGHT,SENSOR-013,-25.024701,140.080218,1867.03,WS-002,ACTIVE,FAIR,39.97,0.05,64.72,12.94,29.69,Zone C,64.3,75.04,SHALE,55,1.75,53.31,186.85,18.43,3,744.24,4590.65,6,4,4.39,2.0672,182.2105,98.6787,172.3332,25.1216,25.82,0,NONE
2024-01-09 12:00:00,2024,1,9,12,NIGHT,SENSOR-030,-26.738253,141.939642,1453.79,WS-001,ACTIVE,GOOD,69.79,0.15,44.16,1.0,30.05,Zone D,44.39,42.44,SCHIST,67,3.68,15.03,75.14,11.47,7,200.73,1713.87,16,3,0.99,0.0,0.0,231.5775,187.4363,16.4916,16.67,0,NONE
2024-01-09 18:00:00,2024,1,9,18,NIGHT,SENSOR-007,-25.590638,140.403707,1673.43,WS-004,ACTIVE,GOOD,62.91,0.04,88.19,6.29,29.59,Zone E,64.07,38.86,SHALE,71,4.27,85.02,152.49,29.89,3,937.85,3602.87,12,1,3.14,7.8382,176.8975,202.9936,133.7343,6.2231,36.61,0,NONE
2024-01-10 00:00:00,2024,1,10,0,DAY,SENSOR-028,-25.384308,141.52457,1797.81,WS-003,ACTIVE,FAIR,71.8,0.11,56.13,4.86,29.98,Zone B,25.26,46.23,GRANITE,51,2.28,62.59,108.28,27.95,2,165.88,3215.52,12,2,2.35,5.4924,489.192,196.095,174.0334,26.435,22.65,0,NONE
2024-01-10 06:00:00,2024,1,10,6,NIGHT,SENSOR-036,-26.984874,141.294949,1898.03,WS-002,ACTIVE,POOR,73.46,0.02,44.61,4.74,30.2,Zone A,46.86,42.84,GRANITE,47,1.88,72.27,130.87,22.45,3,209.7,1315.17,12,2,2.6,4.6166,383.9537,357.4327,30.3066,28.7983,18.48,0,NONE
2024-01-10 12:00:00,2024,1,10,12,DAY,SENSOR-011,-25.778038,140.822057,1839.86,WS-007,CALIBRATING,FAIR,58.56,0.02,84.0,2.22,29.57,Zone B,37.37,71.13,SHALE,55,3.5,8.6,143.58,28.07,4,186.14,606.37,11,4,2.69,2.4085,230.3124,123.6541,84.2721,30.1293,21.58,0,NONE
2024-01-10 18:00:00,2024,1,10,18,DAY,SENSOR-011,-25.211618,140.383735,1323.37,WS-007,ACTIVE,FAIR,89.43,0.01,43.6,3.64,29.82,Zone C,28.04,70.02,SHALE,44,2.93,79.21,147.63,31.32,4,602.01,3787.93,10,0,2.75,1.9668,68.1985,479.2364,43.3076,34.8102,8.29,0,NONE
2024-01-11 00:00:00,2024,1,11,0,NIGHT,SENSOR-028,-25.015033,141.854002,1539.96,WS-009,CALIBRATING,GOOD,46.78,0.02,80.52,17.06,30.12,Zone B,58.99,36.39,SANDSTONE,79,4.02,63.79,55.42,22.13,2,943.26,2992.11,8,2,2.29,3.9571,322.8587,304.2912,107.9791,46.0502,13.29,0,NONE
2024-01-11 06:00:00,2024,1,11,6,DAY,SENSOR-004,-26.652951,141.389902,1346.1,WS-010,MAINTENANCE,GOOD,69.83,0.05,88.54,9.72,30.16,Zone C,63.79,76.14,GRANITE,59,3.23,68.83,76.23,30.1,2,161.36,616.15,9,2,2.52,3.3828,274.3547,225.3607,30.0763,32.4005,28.48,0,NONE
2024-01-11 12:00:00,2024,1,11,12,DAY,SENSOR-038,-25.032642,140.47836,1142.25,WS-008,MAINTENANCE,POOR,87.36,0.12,37.28,3.57,29.77,Zone B,27.8,55.47,GRANITE,89,4.16,55.37,95.94,34.96,2,897.94,2524.03,7,2,2.16,3.2378,49.3274,415.4936,149.3867,38.6959,36.65,1,NONE
2024-01-11 18:00:00,2024,1,11,18,SWING,SENSOR-006,-26.091245,141.688714,1098.08,WS-003,ACTIVE,POOR,70.88,0.14,59.29,5.23,30.5,Zone A,46.42,48.79,SCHIST,53,2.57,70.65,183.81,48.21,4,856.78,672.92,15,3,3.05,3.9534,230.0032,333.0834,180.0724,32.1968,50.46,0,NONE
2024-01-12 00:00:00,2024,1,12,0,NIGHT,SENSOR-008,-26.857487,140.024217,1956.5,WS-010,ACTIVE,POOR,68.55,0.01,74.25,3.98,29.43,Zone E,59.86,63.07,GRANITE,41,1.28,8.86,149.05,40.57,1,173.95,4855.37,8,2,3.0,2.4823,139.2574,197.1504,49.0806,6.9479,23.57,0,NONE
2024-01-12 06:00:00,2024,1,12,6,SWING,SENSOR-006,-26.743809,140.676535,1928.08,WS-007,MAINTENANCE,POOR,76.19,0.11,43.48,7.52,29.05,Zone E,52.58,77.15,SANDSTONE,44,1.05,17.77,183.04,35.83,5,779.54,2572.43,13,4,1.21,5.0934,494.894,277.0632,197.0873,46.932,7.63,0,NONE
2024-01-12 12:00:00,2024,1,12,12,NIGHT,SENSOR-014,-25.622229,141.746646,1636.29,WS-006,ACTIVE,GOOD,36.51,0.08,75.67,5.59,29.79,Zone D,36.1,66.32,LIMESTONE,89,0.95,36.13,170.01,18.16,3,419.85,4027.06,10,4,3.54,0.0,0.0,27.3026,151.6894,10.9215,3.54,0,NONE
2024-01-12 18:00:00,2024,1,12,18,SWING,SENSOR-042,-26.174756,141.391236,1003.22,WS-005,CALIBRATING,GOOD,68.37,0.05,67.18,9.0,29.64,Zone A,53.9,33.24,GRANITE,64,3.03,50.46,140.52,37.06,4,152.7,2004.07,13,4,2.26,2.6616,236.6107,82.2517,72.3566,22.2669,35.36,1,NONE
2024-01-13 00:00:00,2024,1,13,0,NIGHT,SENSOR-040,-25.856255,141.175539,1184.48,WS-010,ACTIVE,GOOD,92.81,0.73,51.73,4.4,29.66,Zone E,48.31,44.94,LIMESTONE,86,1.67,38.67,180.91,43.68,3,220.13,862.71,12,3,2.25,3.4824,234.214,367.459,155.4475,8.7865,55.31,0,MEDIUM
2024-01-13 06:00:00,2024,1,13,6,NIGHT,SENSOR-009,-25.187491,140.499092,1271.95,WS-006,ACTIVE,GOOD,50.35,0.03,75.56,2.92,29.66,Zone C,27.82,75.32,SANDSTONE,38,2.9,37.0,102.1,45.99,0,697.41,4835.27,7,1,4.43,5.5118,89.3248,135.6997,134.2932,10.7068,30.58,0,NONE
2024-01-13 12:00:00,2024,1,13,12,DAY,SENSOR-029,-25.953218,140.229538,1860.14,WS-009,ACTIVE,POOR,74.49,0.08,73.37,4.0,30.11,Zone E,28.68,52.92,GRANITE,59,1.25,85.11,177.5,36.76,4,561.25,4128.82,10,2,3.65,3.236,65.5889,108.6683,59.138,9.0706,25.4,0,NONE
2024-01-13 18:00:00,2024,1,13,18,SWING,SENSOR-036,-26.004375,140.210947,1656.78,WS-005,ACTIVE,GOOD,78.25,0.31,79.33,10.86,29.64,Zone C,34.17,56.17,GRANITE,47,4.07,51.98,145.19,41.92,3,726.31,4069.68,8,5,4.12,7.2562,646.9786,145.6832,196.8691,7.8949,70.66,1,NONE
2024-01-14 00:00:00,2024,1,14,0,SWING,SENSOR-036,-26.145021,140.324467,1012.61,WS-003,ACTIVE,GOOD,86.18,0.21,63.59,13.59,30.03,Zone E,28.57,66.57,LIMESTONE,41,4.36,73.72,131.12,38.41,4,544.79,4227.12,8,4,3.35,1.1698,113.5206,414.7293,29.1211,12.7538,11.21,0,NONE
2024-01-14 06:00:00,2024,1,14,6,SWING,SENSOR-022,-26.349792,141.372654,1069.64,WS-004,ACTIVE,POOR,83.66,0.11,40.49,4.13,30.18,Zone D,37.57,62.14,SANDSTONE,71,2.81,27.48,81.9,11.33,7,916.48,3518.3,11,4,2.29,0.8198,70.2805,235.5756,174.2671,27.7858,38.57,0,NONE
2024-01-14 12:00:00,2024,1,14,12,DAY,SENSOR-006,-25.546658,140.609502,1829.39,WS-007,ACTIVE,GOOD,58.47,0.33,46.89,6.63,30.84,Zone A,35.89,30.62,SANDSTONE,58,1.86,53.85,94.59,22.0,1,912.61,4335.19,12,3,4.07,3.3442,121.3916,100.8118,25.0041,12.736,19.25,0,NONE
2024-01-14 18:00:00,2024,1,14,18,DAY,SENSOR-041,-25.180746,141.338401,1829.29,WS-005,ACTIVE,FAIR,65.54,0.01,82.74,7.76,31.26,Zone E,39.26,51.73,SCHIST,76,3.21,80.33,116.51,34.28,4,193.8,2230.3,10,2,4.3,1.7592,149.2207,304.319,151.2828,25.807,32.27,0,NONE
2024-01-15 00:00:00,2024,1,15,0,NIGHT,SENSOR-036,-26.988988,140.015328,1219.07,WS-001,ACTIVE,GOOD,33.98,0.07,32.2,4.39,29.54,Zone B,50.74,55.63,BASALT,47,4.69,35.73,63.06,34.68,1,556.67,4434.0,10,3,4.47,2.1984,60.7823,74.4297,62.199,20.3342,26.39,0,NONE
2024-01-15 06:00:00,2024,1,15,6,DAY,SENSOR-024,-26.880951,141.207591,1686.59,WS-010,MAINTENANCE,GOOD,56.86,0.22,36.87,5.83,28.84,Zone D,30.45,50.95,LIMESTONE,75,0.82,7.22,103.22,47.67,4,672.49,4609.79,12,3,4.11,5.9496,570.8949,42.5575,111.4538,7.9647,41.07,1,NONE
2024-01-15 12:00:00,2024,1,15,12,DAY,SENSOR-020,-25.695417,141.691209,1692.49,WS-006,ACTIVE,GOOD,35.61,0.13,55.8,8.1,29.45,Zone B,60.5,52.32,SCHIST,77,4.2,77.18,187.5,27.24,3,735.03,3597.82,9,0,2.22,0.0,0.0,79.8711,179.1184,17.948,17.0,0,NONE
2024-01-15 18:00:00,2024,1,15,18,DAY,SENSOR-043,-26.564215,141.976072,1454.0,WS-002,ACTIVE,POOR,79.47,0.05,71.3,12.54,29.68,Zone D,47.75,78.2,BASALT,53,0.68,2.79,108.2,16.4,0,780.59,2563.35,8,1,0.96,3.4967,57.5353,478.4002,69.6537,44.5318,7.05,0,NONE
2024-01-16 00:00:00,2024,1,16,0,SWING,SENSOR-010,-25.3327,140.880883,1302.33,WS-004,ACTIVE,GOOD,90.99,0.14,45.56,16.44,29.84,Zone D,37.16,78.32,GRANITE,63,2.06,52.24,70.88,27.76,6,658.59,1405.9,9,2,2.4,3.6031,146.4105,276.082,53.2724,48.2374,27.08,0,NONE
2024-01-16 06:00:00,2024,1,16,6,DAY,SENSOR-048,-25.111916,140.297592,1462.68,WS-006,CALIBRATING,GOOD,55.02,0.21,88.86,8.72,30.05,Zone C,41.89,44.29,LIMESTONE,42,3.93,34.79,126.69,29.69,8,198.34,4342.83,9,0,4.07,1.5149,122.9318,40.6042,177.8583,22.9676,13.19,0,NONE
2024-01-16 12:00:00,2024,1,16,12,SWING,SENSOR-007,-26.44248,140.42141,1957.45,WS-007,ACTIVE,FAIR,50.43,0.16,30.53,9.09,30.18,Zone B,25.64,66.89,LIMESTONE,80,3.83,12.86,163.01,40.76,4,538.87,849.42,9,1,0.76,2.0069,145.1527,180.9221,31.0896,40.6035,24.9,0,NONE
2024-01-16 18:00:00,2024,1,16,18,NIGHT,SENSOR-023,-26.409419,140.464769,1281.0,WS-005,ACTIVE,GOOD,79.06,0.05,78.21,4.84,30.27,Zone A,39.47,53.82,SCHIST,43,3.38,88.11,140.52,24.31,3,504.41,3136.39,11,0,3.23,1.7332,25.1661,128.5465,145.651,41.3042,4.15,0,NONE
2024-01-17 00:00:00,2024,1,17,0,DAY,SENSOR-026,-26.891336,141.49729,1317.59,WS-006,ACTIVE,GOOD,38.46,0.1,30.01,3.54,29.93,Zone C,56.81,33.13,SANDSTONE,80,0.52,22.21,161.14,22.65,1,343.35,4292.2,8,1,4.07,1.9783,70.3973,222.5705,182.8892,19.4886,20.29,0,NONE
2024-01-17 06:00:00,2024,1,17,6,SWING,SENSOR-033,-25.067905,141.522076,1950.77,WS-007,MAINTENANCE,GOOD,78.89,0.11,72.15,3.56,29.76,Zone A,53.99,32.41,GRANITE,51,4.81,45.04,114.91,28.31,2,147.12,3954.05,9,2,3.9,6.5085,67.6406,113.8771,134.8972,24.1418,36.63,0,NONE
2024-01-17 12:00:00,2024,1,17,12,NIGHT,SENSOR-012,-26.425181,140.735572,1058.09,WS-010,ACTIVE,GOOD,51.47,0.15,36.69,7.7,30.29,Zone A,25.66,48.95,BASALT,50,0.59,11.19,112.05,29.71,3,517.69,4835.75,10,4,1.75,5.7322,438.3627,389.2558,156.8551,26.5435,49.79,0,NONE
2024-01-17 18:00:00,2024,1,17,18,NIGHT,SENSOR-023,-26.400399,141.292917,1974.19,WS-006,CALIBRATING,POOR,46.41,0.0,80.82,1.83,30.01,Zone E,60.12,52.9,GRANITE,53,1.86,5.91,84.24,19.86,3,962.01,4742.26,4,3,1.4,2.453,28.4055,105.9582,36.7526,31.4983,20.69,0,NONE
2024-01-18 00:00:00,2024,1,18,0,NIGHT,SENSOR-037,-25.219718,141.415443,1062.2,WS-004,ACTIVE,GOOD,61.49,0.06,38.84,7.01,29.5,Zone D,31.04,77.9,GRANITE,61,1.59,45.05,151.94,13.05,4,139.51,1245.87,9,3,0.7,1.9631,88.2115,423.3883,196.4266,39.864,27.02,0,NONE
2024-01-18 06:00:00,2024,1,18,6,SWING,SENSOR-035,-25.41481,141.815798,1943.7,WS-004,ACTIVE,FAIR,67.44,0.34,87.61,6.85,29.93,Zone A,32.28,53.85,SCHIST,73,1.61,57.66,149.99,16.51,3,108.13,2106.63,16,3,3.04,8.4535,536.1279,118.8172,71.1173,42.5541,75.29,1,NONE
2024-01-18 12:00:00,2024,1,18,12,SWING,SENSOR-021,-25.01349,140.089823,1761.01,WS-002,ACTIVE,POOR,61.29,0.25,52.3,11.44,29.62,Zone C,67.79,58.86,SCHIST,51,4.04,22.59,134.61,24.34,2,926.42,958.12,10,1,0.66,5.9671,123.3122,27.6492,43.2921,43.4717,17.68,0,NONE
2024-01-18 18:00:00,2024,1,18,18,NIGHT,SENSOR-021,-26.047329,140.99508,1204.68,WS-007,ACTIVE,POOR,66.57,0.15,65.47,3.73,29.41,Zone B,34.32,33.56,LIMESTONE,34,4.73,45.62,111.41,42.44,5,888.29,2925.93,8,5,0.65,5.5355,196.0925,72.6547,155.4539,1.0006,23.01,0,NONE
2024-01-19 00:00:00,2024,1,19,0,NIGHT,SENSOR-043,-25.066309,140.448587,1663.05,WS-007,ACTIVE,POOR,48.71,0.13,74.51,4.55,30.49,Zone E,39.64,65.63,SANDSTONE,79,1.32,33.38,185.29,42.27,5,590.05,3691.94,11,0,3.36,0.0,0.0,381.9126,29.478,26.1789,16.51,0,NONE
2024-01-19 06:00:00,2024,1,19,6,NIGHT,SENSOR-036,-26.609519,140.690684,1335.61,WS-001,ACTIVE,GOOD,91.93,0.16,88.71,6.9,30.31,Zone B,50.29,77.35,SHALE,59,2.21,14.67,167.93,39.38,1,855.1,551.38,9,4,3.32,3.1176,289.5963,410.3928,113.8218,48.3847,37.59,1,NONE
